City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,micheweni,-4.9667,39.8333,297.44,87,3,4.07,TZ,1692652840
84,lethem,3.3803,-59.7968,305.18,62,20,4.12,GY,1692652842
85,tisnov,49.3487,16.4244,300.42,80,88,0.45,CZ,1692652843
86,lospalos,-8.5186,127.0025,292.52,84,12,2.39,TL,1692652844
87,kavieng,-2.5744,150.7967,299.92,82,97,3.49,PG,1692652845
88,east london,-33.0153,27.9116,288.79,70,60,3.3,ZA,1692652528
89,ambodifotatra,-16.9833,49.85,296.32,74,3,2.08,MG,1692652848
90,waitangi,-43.9535,-176.5597,283.61,97,100,4.92,NZ,1692652521
91,haiku-pauwela,20.9219,-156.3051,301.16,77,40,7.72,US,1692652850
92,berezovo,63.9381,65.0419,282.05,93,96,2.55,RU,1692652851
93,tuensang,26.2833,94.8333,294.84,99,100,0.47,IN,1692652853
94,san juan de la rambla,28.3928,-16.6502,303.36,66,58,3.63,ES,1692652854
95,pedernales,18.0384,-71.744,304.99,61,75,1.79,DO,1692652856
96,balsas,-7.5325,-46.0356,308.21,21,43,2.44,BR,1692652856
97,leeton,-34.5667,146.4,288.65,65,100,3.62,AU,1692652858
98,basoko,1.2391,23.616,297.11,84,89,1.02,CD,1692652860
99,nova vicosa,-17.8919,-39.3719,297.03,89,52,6.29,BR,1692652861
100,naujamiestis,55.6869,24.1523,288.11,92,0,4.3,LT,1692652862
101,pisco,-13.7,-76.2167,294.18,73,0,6.69,PE,1692652537
102,kismayo,-0.3582,42.5454,298.23,87,14,5.32,SO,1692652864
103,sotik post,-0.7813,35.3416,286.1,70,45,1.25,KE,1692652865
104,patterson,37.4716,-121.1297,301.3,30,37,3.11,US,1692652866
105,flying fish cove,-10.4217,105.6791,297.97,78,100,6.69,CX,1692652867
106,bilibino,68.0546,166.4372,279.87,68,100,1.47,RU,1692652620
107,lihue,21.9789,-159.3672,301.92,75,100,5.14,US,1692652539
